,school_name,country
404,Paris-Sud University,France
405,Joseph Fourier University,France
406,Johannes Gutenberg University of Mainz,Germany
407,"St George’s, University of London",United Kingdom
408,University of Erlangen-Nuremberg,Germany
409,Florida Institute of Technology,United States of America
410,Indian Institute of Technology Kharagpur,India
411,Koç University,Turkey
412,Laval University,Canada
413,Mines ParisTech,France
414,National Research Nuclear University MePhI,Russian Federation
415,University of Connecticut,United States of America
416,University of Oregon,United States of America
417,Bayreuth University,Germany
418,Oregon State University,United States of America
419,University of Montana,United States of America
420,University of Turin,Italy
421,Claude Bernard University Lyon 1,France
422,King Abdulaziz University,Saudi Arabia
423,Medical University of Vienna,Austria
424,Murdoch University,Australia
425,National Cheng Kung University,Taiwan
426,North Carolina State University,United States of America
427,Renmin University of China,China
428,University of Fribourg,Switzerland
429,University of Pavia,Italy
430,University of Portsmouth,United Kingdom
431,University of Vermont,United States of America
432,Indian Institute of Technology Roorkee,India
433,King Mongkut’s University of Technology Thonburi,Thailand
434,National Autonomous University of Mexico,Mexico
435,Paris Dauphine University,France
436,Southern Methodist University,United States of America
437,Temple University,United States of America
438,University of Duisburg-Essen,Germany
439,University of Jyväskylä,Finland
440,University of KwaZulu-Natal,South Africa
441,University of Minho,Portugal
442,University of Technology Sydney,Australia
443,"University of the Andes, Colombia",Colombia
444,University of Vigo,Spain
445,Panjab University,India
446,University of Cologne,Germany
447,University of Nebraska-Lincoln,United States of America
448,University of Alaska Fairbanks,United States of America
449,Wuhan University of Technology,China
450,"China Medical University, Taiwan",Taiwan
451,Hanyang University,South Korea
452,Indian Institute of Technology Delhi,India
453,Indian Institute of Technology Kanpur,India
454,King Saud University,Saudi Arabia
455,San Diego State University,United States of America
456,University of Florence,Italy
457,University of Navarra,Spain
458,University of Rovira i Virgili,Spain
459,Scuola Normale Superiore di Pisa,Italy
460,Syracuse University,United States of America
461,Sabancı University,Turkey
